transaction_id,is_confirmed_fraud,fraud_type,labeled_at,label_source
TX00691,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00692,True,ATO,2026-05-15 10:24:00,MANUAL_REVIEW
TX00693,True,ATO,2026-05-15 12:04:00,MANUAL_REVIEW
TX00694,True,ATO,2026-05-15 13:44:00,MANUAL_REVIEW
TX00696,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00700,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00701,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00702,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00703,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00705,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00706,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00707,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00709,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00711,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00712,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00713,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00715,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00716,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00719,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00721,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00722,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00724,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00725,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00726,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00728,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00729,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00730,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00731,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00732,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00733,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00735,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00736,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00737,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00739,True,ABUSE,2026-05-22 10:40:00,MANUAL_REVIEW
TX00740,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00741,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00742,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00743,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00744,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00745,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00746,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00747,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00748,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00749,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00750,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00751,True,OTHER,2026-05-12 02:20:00,MANUAL_REVIEW
TX00754,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00755,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00756,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00757,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00758,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00759,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00760,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00761,True,OTHER,2026-05-25 18:40:00,MANUAL_REVIEW
TX00764,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00765,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00766,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00767,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00768,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00769,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00770,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
TX00771,True,OTHER,2026-05-26 03:00:00,MANUAL_REVIEW
